#,Paper_ID,R1_Rec,R1_Length,R1_Conf,R2_Rec,R2_Length,R2_Conf,R3_Rec,R3_Length,R3_Conf,MR_Length,Decision
1,S1uxsye0Z,6,379,3,6,409,3,7,313,5,121,Accept (Poster)
2,ryEJWe2HM,4,1166,5,4,951,4,5,514,4,,
3,HJNMYceCW,7,882,5,7,253,2,6,434,4,90,Accept (Poster)
4,r1l4eQW0Z,5,445,4,7,578,3,7,289,4,94,Accept (Poster)
5,ryZERzWCZ,4,370,4,5,547,4,6,387,4,73,Reject
6,rkmu5b0a-,5,733,4,7,320,5,6,102,3,196,Accept (Poster)
7,r1wEFyWCW,6,684,5,7,250,4,6,168,4,67,Accept (Poster)
8,BJj6qGbRW,7,373,4,7,757,4,7,178,4,42,Accept (Poster)
9,B1X0mzZCW,7,314,4,5,361,4,6,308,3,81,Accept (Poster)
10,HJvvRoe0W,7,1109,5,7,363,3,7,139,5,108,Accept (Poster)
11,r1nzLmWAb,3,371,5,4,195,4,3,540,5,11,Reject
12,BydjJte0-,7,272,3,7,390,4,5,378,4,29,Accept (Poster)
13,SyoDInJ0-,6,556,5,6,362,3,7,662,4,68,Accept (Poster)
14,BJInEZsTb,6,200,5,8,125,5,5,528,4,106,Invite to Workshop Track
15,SyhRVm-Rb,8,219,4,4,665,4,6,431,4,165,Reject
16,H1zRea1Mf,2,237,5,5,502,4,5,276,4,,
17,B11bwYgfM,5,242,4,4,405,4,5,763,4,,
18,BJyy3a0Ez,5,621,4,4,139,3,3,474,4,,
19,BkbOsNeSM,4,128,3,4,303,4,3,93,3,,
20,rJ1os4eHf,5,355,3,3,444,4,4,273,2,,
21,ryQz_ZfHz,5,1149,4,3,404,4,3,301,4,,
22,rknJHfXBz,4,216,5,3,287,4,4,377,5,,
23,Byni8NLHf,3,460,4,4,225,4,3,107,5,,
24,ByQpn1ZA-,8,292,5,4,226,4,7,328,3,122,Accept (Poster)
25,rJg4YGWRb,6,362,3,6,139,2,7,358,4,193,Reject
26,Bya8fGWAZ,5,205,4,7,555,3,5,481,2,179,Invite to Workshop Track
27,rye7IMbAZ,6,559,5,7,256,4,6,233,4,126,Reject
28,B12Js_yRb,6,464,3,6,251,3,4,390,4,115,Accept (Poster)
29,BkfEzz-0-,6,849,4,7,244,3,3,509,5,193,Invite to Workshop Track
30,rJLTTe-0W,5,191,5,6,341,3,4,563,5,74,Reject
31,r1NYjfbR-,7,49,4,8,353,4,6,623,4,104,Accept (Poster)
32,BkJ3ibb0-,6,224,3,6,283,3,8,395,4,64,Accept (Poster)
33,rJUBryZ0W,6,360,4,6,378,4,6,254,4,142,Reject
34,HymuJz-A-,6,167,3,6,720,3,6,351,4,57,Invite to Workshop Track
35,SJcKhk-Ab,8,267,4,8,441,4,8,163,4,63,Accept (Poster)
36,BydLzGb0Z,6,828,4,7,439,4,8,372,4,32,Accept (Poster)
37,rkZzY-lCb,7,211,3,2,316,2,7,163,5,121,Reject
38,BJuWrGW0Z,6,214,2,7,264,3,7,268,4,97,Accept (Poster)
39,HkwVAXyCW,6,782,4,6,200,4,6,134,4,30,Accept (Poster)
40,rJYFzMZC-,6,1232,4,9,237,4,8,198,4,75,Accept (Poster)
41,rkrC3GbRW,6,397,4,7,669,3,7,244,3,115,Accept (Poster)
42,HyZoi-WRb,7,431,4,6,229,3,7,54,3,69,Accept (Poster)
43,rytstxWAW,6,741,4,7,118,2,7,450,4,97,Accept (Poster)
44,SJx9GQb0-,4,309,4,6,585,5,7,438,4,56,Accept (Poster)
45,S191YzbRZ,5,473,4,5,259,5,5,818,3,66,Reject
46,rJQDjk-0b,6,170,4,7,594,4,8,176,5,47,Accept (Poster)
47,B1EVwkqTW,5,442,4,3,516,4,4,295,5,69,Reject
48,HJWGdbbCW,4,393,4,4,464,4,6,1122,5,41,Reject
49,BypdvewVM,8,367,5,5,309,3,6,100,4,,
50,rylfg-DNM,4,523,4,2,153,5,3,161,5,,
51,H1TWfmnNf,4,1164,5,3,442,5,3,553,3,,
52,HkSZyinVG,1,101,5,4,256,5,3,248,5,,
53,Bk9nkMa4G,5,486,4,5,285,4,5,337,4,,
54,H1YynweCb,6,432,5,5,997,4,7,212,3,103,Invite to Workshop Track
55,S1EfylZ0Z,4,395,5,6,279,4,4,163,4,58,Reject
56,rkTBjG-AZ,4,103,5,5,78,3,4,165,5,320,Reject
57,Hksj2WWAW,6,1135,4,8,698,3,5,292,4,400,Accept (Poster)
58,Hk91SGWR-,4,241,3,5,853,4,7,421,4,231,Invite to Workshop Track
59,HyydRMZC-,7,363,4,9,320,5,7,154,4,30,Accept (Poster)
60,SyYYPdg0-,4,425,4,5,305,4,4,316,4,30,Reject
61,ryUlhzWCZ,7,424,3,6,1202,4,3,527,5,29,Accept (Poster)
62,BkS3fnl0W,4,458,3,4,399,4,3,199,5,74,Reject
63,ryiAv2xAZ,6,343,4,7,368,3,6,419,3,75,Accept (Poster)
64,SJCq_fZ0Z,5,524,3,5,466,4,8,44,4,253,Reject
65,BkM3ibZRW,5,758,4,6,174,3,3,375,4,132,Invite to Workshop Track
66,H1u8fMW0b,5,322,2,3,216,4,3,243,5,56,Reject
67,SJlhPMWAW,5,717,3,7,60,2,7,270,4,220,Reject
68,rJm7VfZA-,7,79,2,6,594,3,6,143,1,43,Accept (Poster)
69,ByCPHrgCW,4,228,4,4,350,5,4,447,5,48,Reject
70,HyXNCZbCZ,5,501,5,5,497,5,7,334,3,148,Reject
71,HJjePwx0-,6,886,5,5,628,2,6,402,3,223,Reject
72,rkYTTf-AZ,8,411,5,7,599,5,7,395,4,112,Accept (Poster)
73,SJZ2Mf-0-,5,458,4,7,443,5,4,118,3,78,Invite to Workshop Track
74,rJl63fZRb,6,674,3,6,111,1,6,355,2,26,Accept (Poster)
75,Skp1ESxRZ,8,604,3,7,630,4,5,357,2,104,Accept (Poster)
76,SJIA6ZWC-,6,760,4,6,467,3,6,153,1,48,Reject
77,By5ugjyCb,5,376,4,5,53,5,5,96,4,69,Reject
78,SyOK1Sg0W,6,360,4,6,560,4,6,304,3,81,Accept (Poster)
79,rJiaRbk0-,6,267,3,4,116,4,6,276,4,64,Reject
80,S19dR9x0b,8,309,4,7,377,4,7,323,2,43,Accept (Poster)
81,rkgOLb-0W,7,543,3,8,253,4,7,198,4,35,Accept (Poster)
82,S1fcY-Z0-,6,248,4,6,438,4,6,316,4,199,Reject
83,Bki4EfWCb,6,298,5,6,698,5,6,567,4,153,Invite to Workshop Track
84,SktLlGbRZ,5,463,5,5,605,5,9,98,5,111,Reject
85,S1Dh8Tg0-,6,690,4,6,424,5,6,143,3,12,Accept (Poster)
86,ryBnUWb0b,6,494,4,7,443,5,6,57,3,31,Accept (Poster)
87,SkZxCk-0Z,7,257,3,7,676,3,4,293,4,82,Accept (Poster)
88,S1Euwz-Rb,7,602,4,7,621,3,6,353,4,248,Accept (Poster)
89,SyXNErg0W,4,486,4,6,167,3,4,33,5,100,Reject
90,S1TgE7WR-,5,553,3,5,121,2,6,281,3,154,Invite to Workshop Track
91,H1eJxngCW,7,619,3,7,159,4,6,253,4,73,Invite to Workshop Track
92,B1hYRMbCW,7,702,4,2,696,2,6,168,5,85,Accept (Poster)
93,H1AdTAxC-,3,264,3,4,1428,4,5,184,4,70,Reject
94,ry018WZAZ,6,101,3,6,282,4,7,209,4,34,Accept (Poster)
95,SyunbfbAb,6,476,4,6,444,3,6,534,4,99,Invite to Workshop Track
96,BJE-4xW0W,6,379,3,7,1241,3,9,62,3,151,Accept (Poster)
97,HyPpD0g0Z,7,437,3,4,352,5,5,273,4,65,Reject
98,S1GDXzb0b,7,754,3,4,146,4,3,594,5,38,Reject
99,HkGJUXb0-,5,607,4,5,104,4,6,183,3,113,Invite to Workshop Track
100,HJnQJXbC-,6,304,5,6,185,4,4,541,5,112,Reject
101,ry6-G_66b,6,881,4,8,262,5,7,517,4,66,Accept (Poster)
